"","Sable_geo_df_binary.LONGITUDE","Sable_geo_df_binary.LATITUDE","data"
"322",-3.90225000000001,51.98358,0
"323",-4.8682,52.15418,0
"324",4.37212,52.15472,0
"325",6.91336000000001,52.24862,0
"326",6.27005,52.25075,0
"327",-0.37088,52.36192,0
"328",0.0882599999999911,52.36879,0
"329",3.64496,51.65706,0
"330",2.26916,51.6685,0
"331",-2.04165,51.67087,0
"332",-2.28799000000001,51.86947,0
"333",-1.44956999999999,51.87118,0
"334",5.46897999999999,51.87324,0
"335",6.04343,51.99051,0
"336",-2.33142000000001,51.99184,0
"337",-3.58915999999999,52.15803,0
"338",7.00984,52.25273,0
"339",7.65732,52.48632,0
"340",-5.63477,52.49157,0
"341",-1.74412000000001,51.69197,0
"342",-4.45468,51.69596,0
"343",-1.66596999999999,51.88596,0
"344",4.80615,51.88702,0
"345",-2.62206,51.99271,0
"346",6.27258,51.99383,0
"347",5.90466000000001,51.99537,0
"348",-1.96850000000001,51.9959,0
"349",-4.80456000000001,52.16194,0
"350",7.30524,52.16711,0
"351",6.85337999999999,52.25375,0
"352",6.48161999999999,52.49772,0
"353",-5.57380000000001,52.50277,0
"354",1.42273,51.50777,0
"355",1.34891999999999,51.51126,0
"356",-4.22434999999999,51.71512,0
"357",-2.07325,51.71974,0
"358",-1.99809999999999,51.73647,0
"359",6.08850000000001,51.88791,0
"360",-1.74539999999999,51.89238,0
"361",-4.10429999999999,52.00574,0
"362",-4.09591,52.00822,0
"363",-2.17286999999999,52.01579,0
"364",6.90431000000001,52.16802,0
"365",-6.30194,52.17782,0
"366",-4.89198999999999,52.25582,0
"367",5.55699999999999,52.25707,0
"368",6.62779,52.2586,0
"369",-5.84053,52.38884,0
"370",-4.08296000000001,52.3893,0
"371",-6.02081000000001,52.39054,0
"372",8.63703000000001,52.3911,0
"373",6.44120000000001,52.5034,0
"374",-0.0432199999999909,52.50387,0
"375",-5.74789000000001,52.50627,0
"376",1.91506000000001,51.56542,0
"377",-2.65869000000001,51.74319,0
"378",-4.13488000000001,51.74452,0
"379",1.94662,51.75375,0
"380",-4.07284999999999,51.89656,0
"381",-1.78480999999999,51.89681,0
"382",-1.74913000000001,51.89941,0
"383",-1.85398000000001,51.90071,0
"384",3.62395000000001,52.02352,0
"385",-2.24788000000001,52.02706,0
"386",7.54339999999999,52.17902,0
"387",-3.67991000000001,52.17979,0
"388",6.76244,52.25877,0
"389",9.41994,52.39513,0
"390",6.18727999999999,52.39755,0
"391",-7.04572999999999,52.50793,0
"392",-5.56528,52.51677,0
"393",1.63022000000001,51.56845,0
"394",-4.12880000000001,51.75638,0
"395",-2.65982,51.76175,0
"396",-1.66492,51.90176,0
"397",-3.39972,51.90708,0
"398",-2.17541,52.02794,0
"399",-0.383839999999992,52.18058,0
"400",6.56243000000001,52.26253,0
"401",7.11132000000001,52.26516,0
"402",-4.15575999999999,52.40019,0
"403",9.89294000000001,52.40023,0
"404",7.38882000000001,52.40048,0
"405",-5.91977,52.51746,0
"406",7.71804,52.5196,0
"407",1.99654000000001,51.57806,0
"408",2.33936,51.58323,0
"409",-2.29194000000001,51.76619,0
"410",-2.29758000000001,51.76692,0
"411",2.49252000000001,51.76849,0
"412",6.21755999999999,51.91074,0
"413",-1.97120000000001,52.03069,0
"414",-3.52959999999999,52.03273,0
"415",-2.34524999999999,52.03749,0
"416",-6.38642999999999,52.18388,0
"417",-4.74515,52.18496,0
"418",-4.80441999999999,52.26736,0
"419",0.079669999999993,52.26795,0
"420",-5.74016,52.40426,0
"421",6.23177999999999,52.4183,0
"422",6.19592,52.42428,0
"423",6.52426,52.52152,0
"424",1.90548999999999,51.77119,0
"425",-2.54230999999999,51.77181,0
"426",6.20474999999999,51.91106,0
"427",-1.63897,52.04035,0
"428",-2.57254,52.0412,0
"429",5.87324000000001,52.04352,0
"430",-4.82626999999999,52.18633,0
"431",-6.44756000000001,52.1966,0
"432",7.05303000000001,52.26986,0
"433",7.12588,52.27139,0
"434",-5.74731,52.42759,0
"435",-4.29483999999999,52.42804,0
"436",-5.70188999999999,52.52512,0
"437",9.4434,52.53233,0
"438",2.40951999999999,51.59987,0
"439",1.93636000000001,51.60466,0
"440",4.95433,51.77686,0
"441",4.96618000000001,51.77717,0
"442",-4.08411000000001,51.77748,0
"443",4.65479999999999,51.78467,0
"444",-1.58940999999999,51.91817,0
"445",6.31028000000001,51.92178,0
"446",-2.53819999999999,52.04627,0
"447",-3.59057999999999,52.05848,0
"448",6.06138999999999,52.20064,0
"449",0.0558900000000051,52.20195,0
"450",-3.89806999999999,52.27427,0
"451",6.87243000000001,52.27452,0
"452",-4.12281999999999,52.27586,0
"453",6.23322999999999,52.43861,0
"454",-0.115569999999991,52.44513,0
"455",7.67292,52.54344,0
"456",3.61664999999999,51.60811,0
"457",2.39106000000001,51.79039,0
"458",4.37266,51.79678,0
"459",-2.32805999999999,51.7985,0
"460",-3.39671999999999,51.92448,0
"461",-3.32706999999999,51.93096,0
"462",-1.69935000000001,52.06357,0
"463",-2.68231,52.07003,0
"464",6.13219000000001,52.20212,0
"465",-3.78854999999999,52.20236,0
"466",-3.93872999999999,52.27667,0
"467",6.89386999999999,52.28014,0
"468",-5.68714,52.44855,0
"469",-6.49755999999999,52.56088,0
"470",4.80132,51.79864,0
"471",4.36610999999999,51.79993,0
"472",6.48558,51.95289,0
"473",4.55076,52.08024,0
"474",7.21835999999999,52.20557,0
"475",7.17274,52.20692,0
"476",-4.04194000000001,52.28112,0
"477",9.3253,52.28405,0
"478",-6.23133000000001,52.45586,0
"479",0.195969999999988,52.45846,0
"480",3.43319,51.61562,0
"481",1.81674000000001,51.61564,0
"482",4.28854000000001,51.80008,0
"483",-4.09435999999999,51.8049,0
"484",5.06426999999999,51.8164,0
"485",-2.41382999999999,51.82034,0
"486",-1.72995,51.95809,0
"487",6.35469000000001,51.95819,0
"488",-3.66632000000001,52.09457,0
"489",4.70860999999999,52.09969,0
"490",5.0557,52.21173,0
"491",0.0302200000000141,52.21786,0
"492",-4.13705999999999,52.28701,0
"493",-4.65383,52.28892,0
"494",6.40591000000001,52.46558,0
"495",-6.62212,52.46587,0
"496",2.15112999999999,51.62478,0
"497",-2.50266999999999,51.83322,0
"498",-4.16423,51.83336,0
"499",6.23221000000001,51.96151,0
"500",-2.29212000000001,52.10221,0
"501",-4.72185999999999,52.2187,0
"502",-5.77026000000001,52.46773,0
"503",-7.03654,52.46791,0
"504",-0.816290000000009,51.24314,0
"505",-1.58681999999999,51.62487,0
"506",4.32482999999999,51.84424,0
"507",-3.96834000000001,51.96406,0
"508",6.01721000000001,51.96457,0
"509",-0.52364,52.14253,0
"510",-3.77081999999999,52.14458,0
"511",-0.240559999999988,52.14914,0
"512",7.12237999999999,52.26204,0
"513",-3.87497999999999,52.26714,0
"514",0.0799499999999966,52.26817,0
"515",5.46581,52.35241,0
"516",-0.362130000000008,52.36356,0
"517",-4.00146000000001,52.36451,0
"518",6.52717000000001,52.52275,0
"519",-7.05940000000001,52.52676,0
"520",-7.60446999999999,52.84486,0
"521",8.57441,52.84573,0
"522",-7.58909,52.85358,0
"523",-7.55737999999999,52.85939,0
"524",-7.61723000000001,52.86054,0
"525",-9.09098,53.13108,0
"526",-9.13279,53.15414,0
"527",13.98334,54.22642,0
"528",14.13439,54.24975,0
"529",6.33763999999999,52.26898,0
"530",-3.97380000000001,52.36725,0
"531",0.0857100000000059,52.36988,0
"532",-6.03265999999999,52.37961,0
"533",-5.85891000000001,52.38218,0
"534",0.395240000000001,52.53409,0
"535",-7.72909000000001,52.86686,0
"536",8.66817,52.86843,0
"537",-9.17668,53.23777,0
"538",-9.09733,53.24117,0
"539",-9.15180000000001,53.25914,0
"540",13.99964,54.25784,0
"541",-4.86168000000001,52.15543,0
"542",-4.80969999999999,52.15975,0
"543",-3.59966,52.15986,0
"544",-0.0890300000000082,52.27148,0
"545",6.18398999999999,52.38583,0
"546",9.33748,52.38682,0
"547",-6.50407000000001,52.55504,0
"548",7.64986999999999,52.5582,0
"549",-7.66616999999999,52.87231,0
"550",-9.27019999999999,53.29102,0
"551",-9.35087999999999,53.30644,0
"552",11.52284,53.31799,0
"553",-6.29892000000001,52.17699,0
"554",-4.82314,52.17981,0
"555",-4.11688000000001,52.27479,0
"556",6.61245,52.27524,0
"557",-0.343500000000006,52.3879,0
"558",-4.07909000000001,52.38846,0
"559",-5.72045,52.41185,0
"560",-7.05528000000001,52.56826,0
"561",-9.10864000000001,52.9102,0
"562",-9.19252,52.91206,0
"563",9.53846999999999,52.92519,0
"564",10.65397,52.93131,0
"565",-9.38593,53.33063,0
"566",11.28563,53.39153,0
"567",-3.67222000000001,52.18001,0
"568",7.22845000000001,52.18265,0
"569",-6.38660999999999,52.18349,0
"570",9.33001999999999,52.27605,0
"571",6.22964999999999,52.42107,0
"572",-5.65056000000001,52.57845,0
"573",-7.75630000000001,52.933,0
"574",-7.72865999999999,52.94805,0
"575",12.42261,53.54856,0
"576",-0.338009999999997,52.19033,0
"577",-6.42809,52.19273,0
"578",-4.68266,52.2765,0
"579",9.19614000000001,52.27906,0
"580",6.20302000000001,52.42483,0
"581",-4.29411999999999,52.42768,0
"582",-5.74572000000001,52.42873,0
"583",-5.67677,52.5833,0
"584",-7.07617999999999,52.5919,0
"585",9.60140999999999,52.95968,0
"586",9.93705,52.97747,0
"587",12.62955,53.58031,0
"588",12.60635,53.62255,0
"589",6.05348000000001,52.20044,0
"590",7.22637,52.20057,0
"591",6.14702,52.20454,0
"592",-0.0600200000000086,52.43335,0
"593",8.59769,52.43451,0
"594",-6.57285999999999,52.59202,0
"595",-9.05815000000001,52.98073,0
"596",-9.07993999999999,52.98603,0
"597",-7.69005000000001,52.99074,0
"598",12.6841,53.68384,0
"599",14.35133,54.38034,0
"600",7.17420000000001,52.20597,0
"601",5.0591,52.21259,0
"602",6.11845,52.27967,0
"603",-3.94479000000001,52.28305,0
"604",-0.123179999999991,52.44294,0
"605",-6.22986,52.4566,0
"606",-5.81768,52.61724,0
"607",9.77725000000001,52.64805,0
"608",9.60490999999999,53.00005,0
"609",12.74599,53.70932,0
"610",14.24503,54.39576,0
"611",14.40938,54.41121,0
"612",-6.52643,52.2203,0
"613",-4.72156000000001,52.22332,0
"614",-6.53764000000001,52.22581,0
"615",9.32566,52.28466,0
"616",-0.246600000000001,52.46358,0
"617",-6.62772000000001,52.4642,0
"618",-6.12984,52.65043,0
"619",-7.68729999999999,53.00046,0
"620",-6.80225999999999,53.01135,0
"621",-6.79060000000001,53.02763,0
"622",12.93871,53.75781,0
